Customer ID,First Name,Last Name,Gender,Age Band,Country,City,Customer Type,Preferred Channel,Total Orders,Total Spend (USD),Last Purchase Date
CUST872113,Emma,Murphy,Female,35-44,United Kingdom,Plymouth,New,In-Store,5,2093.75,2025-07-17
CUST176372,Ava,Green,Male,25-34,United Kingdom,Belfast,Returning,In-Store,4,1129.0,2022-04-13
CUST769962,Charlie,Nelson,Male,18-24,United Kingdom,Brighton,New,Online,5,1584.5,2023-11-11
CUST560377,Freya,Jackson,Female,55+,Europe,Toulouse,Returning,Online,8,2115.0,2024-09-14
CUST781724,Ethan,Walker,Male,55+,Europe,Stockholm,Returning,In-Store,8,2008.0,2025-12-17
CUST505663,Olivia,Roberts,Male,25-34,Europe,Toulouse,Returning,Online,16,4873.0,2025-05-03
CUST242309,Freya,Turner,Male,25-34,United Kingdom,Southampton,Returning,Online,5,1552.5,2025-09-11
CUST776180,Leo,Morris,Male,35-44,United Kingdom,Edinburgh,Returning,In-Store,8,2825.5,2024-10-22
CUST667971,Ella,Perez,Female,25-34,United Kingdom,Leeds,Returning,In-Store,5,1445.0,2024-09-04
CUST518141,Charlie,Cook,Male,45-54,United Kingdom,Liverpool,New,Online,9,3335.5,2023-12-12
CUST435453,Jordan,Stewart,Female,25-34,United Kingdom,Glasgow,New,In-Store,6,2041.0,2024-01-08
CUST409434,Owen,Garcia,Male,18-24,United Kingdom,Plymouth,Returning,In-Store,8,1539.75,2025-06-14
CUST533020,Jack,Brown,Male,35-44,United Kingdom,Leeds,Returning,In-Store,6,2206.5,2025-12-17
CUST335489,Mila,Adams,Female,18-24,United Kingdom,Brighton,Returning,In-Store,9,3269.5,2025-01-25
CUST354125,Chris,Phillips,Male,25-34,United Kingdom,Plymouth,Returning,In-Store,8,3502.5,2025-09-17
CUST350331,Olivia,Wright,Female,35-44,United Kingdom,Bristol,Returning,In-Store,11,3598.25,2025-11-14
CUST111411,Freya,Wright,Female,55+,Europe,Cologne,Returning,In-Store,2,526.0,2022-01-09
CUST935062,Taylor,Phillips,Female,25-34,Europe,Milan,Returning,In-Store,5,1652.0,2022-11-29
CUST312896,George,White,Male,35-44,United Kingdom,Brighton,Returning,In-Store,9,2257.5,2025-07-18
CUST248570,Charlie,Lee,Male,18-24,Canada,Toronto,Returning,In-Store,11,3582.0,2025-04-09
CUST236054,Noah,Thomas,Male,45-54,United Kingdom,Cambridge,New,In-Store,7,1952.5,2025-03-24
CUST989357,Morgan,Martin,Female,25-34,United Kingdom,Bristol,Returning,In-Store,8,2114.25,2025-09-26
CUST529068,Olivia,Baker,Female,25-34,Europe,Toulouse,Returning,In-Store,7,2635.5,2025-01-16
CUST394227,Alex,Walker,Male,18-24,United Kingdom,Leeds,Returning,In-Store,9,2649.0,2025-10-25
CUST463503,Oscar,Campbell,Male,45-54,United Kingdom,Cardiff,New,In-Store,8,2849.5,2025-04-21
CUST179551,Aria,Thompson,Male,18-24,United Kingdom,Liverpool,Returning,Online,5,920.5,2025-09-15
CUST382299,Theo,Cook,Male,35-44,United Kingdom,London,Returning,In-Store,5,1557.25,2025-08-30
CUST323821,Morgan,Thomas,Male,25-34,Canada,Toronto,New,Online,6,1343.0,2022-06-04
CUST822895,Harry,King,Female,35-44,Europe,Stockholm,Returning,In-Store,5,2243.5,2025-04-04
CUST152572,Oscar,Campbell,Female,55+,Canada,Vancouver,New,Online,6,1448.75,2025-09-29
CUST482902,Owen,Parker,Male,25-34,United Kingdom,Leeds,New,Mobile App,4,2048.0,2024-08-11
CUST811026,Jordan,Evans,Male,35-44,United Kingdom,Glasgow,New,In-Store,9,2003.5,2022-11-29
CUST850236,Ethan,Martin,Male,25-34,United Kingdom,Birmingham,Returning,In-Store,9,1847.0,2020-12-30
CUST561297,Ethan,Nelson,Male,35-44,Europe,Toulouse,Returning,In-Store,8,2159.75,2025-11-29
CUST300274,Leo,Thomas,Female,18-24,United Kingdom,London,New,In-Store,6,2275.5,2024-02-24
CUST403287,Luca,Smith,Male,25-34,United Kingdom,Glasgow,New,In-Store,11,3858.5,2025-09-07
CUST300061,Zoe,Turner,Other,45-54,United Kingdom,Glasgow,New,In-Store,6,1710.0,2025-06-28
CUST695843,Amelia,Stewart,Female,25-34,Canada,Vancouver,Returning,Online,9,2471.25,2025-07-12
CUST363376,Nora,Roberts,Female,18-24,Europe,Milan,Returning,In-Store,10,2362.75,2025-03-09
CUST667581,Hugo,Collins,Female,25-34,Europe,Dublin,Returning,In-Store,5,1452.25,2025-09-14
CUST690124,Avery,Walker,Female,35-44,Europe,Paris,New,In-Store,6,1847.25,2022-10-26
CUST945883,Sam,Allen,Other,55+,Europe,Milan,Returning,In-Store,6,1466.0,2025-10-30
CUST433315,Chloe,Anderson,Male,45-54,United Kingdom,Bristol,New,In-Store,7,1815.5,2025-04-27
CUST965133,Ava,Baker,Other,35-44,United Kingdom,Newcastle,Returning,In-Store,10,2211.75,2024-08-28
CUST460644,Hugo,Smith,Male,55+,United Kingdom,Birmingham,New,In-Store,10,2481.25,2024-08-07
CUST712614,Avery,Collins,Male,35-44,United Kingdom,Bristol,Returning,In-Store,13,3784.25,2025-08-17
CUST695457,Chloe,Walker,Female,35-44,Europe,Toulouse,New,Online,8,1278.5,2021-10-23
CUST836033,Liam,Parker,Male,35-44,United Kingdom,Birmingham,Returning,In-Store,2,359.5,2020-06-09
CUST522199,Taylor,Brown,Male,55+,Europe,Paris,New,In-Store,11,3412.5,2023-05-25
CUST813181,Avery,Green,Male,18-24,Europe,Marseille,Returning,In-Store,8,1648.75,2025-11-30
CUST419802,Aria,Young,Male,35-44,United Kingdom,Manchester,New,In-Store,4,834.75,2025-06-28
CUST542172,Casey,Rodriguez,Male,45-54,United Kingdom,Brighton,New,In-Store,4,1020.0,2024-12-05
CUST549706,Casey,Harris,Male,18-24,Europe,Milan,New,Mobile App,9,2596.0,2025-12-30
